D001669,D001823,D005317,D055703,D020868,D013312
D002294,D015778,D001941,D018196,D008198,D009371
D007890,D009132,D008080,D007889,D018205,D009379
D007082,D004848,D010972,D004768,D041981,D004751
D001859,D001941,D018196,D002296,D014408,D012140
D004260,D055595,D014407,D011836,D004249,D055585
D009132,D018657,D009379,D018482,D005318,D054792
D008568,D010898,D011613,D013850,D013649,D004192
D001688,D000893,D018946,D018836,D007372,D054414
D032342,D002100,D013234,D018482,D009133,D007410
D018418,D015551,D016131,D018417,D036341,D013601
D019636,D058225,D009474,D009474,D002462,D003712
D019261,D004734,D002940,D009765,D012890,D009929
D015815,D000950,D009092,D009000,D003106,D003108
D015415,D055614,D011110,D018503,D013045,D015341
D007421,D009132,D003239,D000947,D017189,D007154
D004789,D017202,D018689,D054792,D009203,D004791
D011020,D005347,D000956,D009894,D000380,D000946
D001669,D002448,D021381,D011485,D002477,D017124
D014556,D005441,D010272,D000091642,D060085,D007411
D018507,D014018,D012734,D005804,D016153,D004625
D001921,D046352,D003213,D009434,D017367,D008636
D050171,D002318,D009140,D000140,D019380,D012875
D014407,D004307,D004249,D000079404,D013997,D011836
D015227,D013312,D050155,D052439,D059305,D019440
D007413,D041741,D004768,D041981,D010972,D004751
D019281,D017386,D001669,D002236,D001669,D002240
D007960,D011020,D005347,D000956,D001685,D014777
D015870,D018503,D064907,D008040,D014644,D013045
D006377,D007154,D036341,D015551,D015496,D001773
D003213,D018689,D008606,D065853,D013037,D009292
D008099,D001772,D004283,D014682,D001424,D007960
D055806,D006439,D004727,D018482,D007004,D059305
D009292,D004789,D015428,D017202,D009203,D054792
D005487,D018836,D045506,D000963,D010586,D007249
D015723,D012689,D015345,D009928,D015870,D000595
D009370,D002448,D015415,D009385,D008841,D015687
D006980,D015415,D007037,D043202,D000568,D000291
D032342,D015179,D004614,D013234,D001284,D013899
D003865,D001714,D012940,D000437,D001294,D011619
D002546,D020768,D003342,D002561,D011597,D002544
D013489,D012734,D014018,D018507,D004625,D016153
D000679,D004027,D008861,D007032,D013574,D001921
D032342,D018482,D001836,D009133,D007414,D013234
D053583,D000079404,D008568,D007858,D008569,D019965
D004064,D009141,D006424,D008660,D002319,D007110
D007413,D000950,D039481,D003092,D041741,D012157
D014024,D014158,D005347,D001823,D017667,D002454
D005938,D008660,D004064,D009141,D001773,D056704
D032446,D007414,D013234,D013899,D004614,D032342
D050171,D003239,D007249,D018836,D000893,D000960
D008572,D011627,D011606,D001828,D012741,D010287
D012469,D007765,D010179,D013361,D007610,D013363
D010641,D005317,D012098,D000478,D044127,D013312
D017667,D009379,D007889,D009379,D008080,D018205
D006706,D001921,D004734,D002940,D012890,D001824
D014408,D008841,D019069,D009361,D010051,D009375
D010913,D015870,D049590,D020319,D010904,D009420
D010641,D020413,D020862,D020022,D020506,D044127
D001790,D001772,D011270,D012098,D004906,D005865
D059333,D012668,D013116,D036341,D059225,D005731
D003231,D000258,D003315,D005938,D007155,D036341
D009434,D018836,D009043,D009435,D015415,D001522
D009141,D009132,D009141,D012509,D018657,D005333
D001854,D058448,D017443,D007801,D020405,D012867
D060825,D012893,D015415,D024801,D009424,D002909
D007032,D007031,D009420,D000679,D008861,D013574
D018450,D055354,D063646,D015398,D002461,D002478
D030341,D001854,D016207,D009504,D022423,D007963
D004625,D018507,D016153,D005804,D014018,D012734
D003593,D042541,D002319,D048429,D015815,D002448
D002561,D054022,D001157,D045504,D001921,D011597
D015428,D006331,D000700,D007238,D014024,D004791
D008599,D001685,D006980,D010048,D006983,D013959
D009385,D015972,D017434,D004351,D058750,D010641
D017386,D017124,D000595,D011487,D010802,D019143
D009379,D007889,D009132,D017667,D008080,D007890
D015870,D055614,D010334,D011247,D018392,D015972
D057809,D048708,D015972,D044127,D000066673,D064593
D014680,D014682,D016470,D008099,D004283,D007964
D008407,D008214,D018926,D006632,D005512,D010323
D004906,D047109,D002452,D011247,D049590,D001772
D005865,D055703,D012098,D004906,D001772,D011270
D010316,D004734,D055598,D003296,D013649,D012677
D004628,D038081,D006128,D015398,D015533,D006128
D001923,D015227,D017392,D054792,D007003,D007004
D014407,D014965,D004249,D013997,D004260,D011836
D011651,D006325,D009373,D013927,D009362,D011667
D009928,D015345,D012689,D040342,D015723,D015394
D009132,D014235,D007583,D009142,D008407,D000947
D000124,D002562,D012380,D004068,D012309,D004327
D017124,D017386,D005075,D017433,D005075,D000595
D015398,D005110,D000954,D005786,D008934,D002453
D018373,D001362,D003213,D008568,D009292,D013037
D000568,D006980,D006983,D015415,D000312,D005831
D000595,D017386,D002240,D019281,D002236,D007700
D016207,D015551,D015496,D016131,D001327,D050378
D003106,D008566,D000941,D000950,D007963,D003092
D065852,D017209,D007375,D019636,D010452,D001688
D048788,D020935,D008660,D058226,D010766,D032389
D008099,D055166,D000960,D018836,D000809,D053773
D053768,D011092,D009928,D016923,D011094,D006461
D015850,D056486,D053773,D006128,D008099,D000963
D020313,D010969,D000079404,D014551,D015398,D004734
D021641,D013649,D013811,D010898,D002755,D010592
D013037,D058647,D008606,D007858,D001522,D008606
D001520,D005239,D045505,D011579,D007858,D013037
D020765,D009420,D054022,D009424,D001157,D002545
D006327,D005921,D002037,D012119,D006984,D017202
D002452,D002540,D001369,D014644,D005727,D020932
D015533,D006128,D015870,D055495,D002642,D002454
D004847,D000728,D014565,D032389,D004847,D002462
D055669,D010316,D012677,D013676,D014186,D009424
D007249,D000893,D000963,D050171,D018836,D005487
D000890,D006084,D009059,D048550,D014076,D004697
D000257,D007166,D003316,D005938,D036341,D003315
D011092,D018712,D007155,D015432,D003449,D016898
D001402,D005512,D010936,D010323,D006632,D018926
D039382,D004628,D050154,D019175,D055703,D044127
D015227,D006943,D009750,D000975,D004064,D005943
D010641,D013312,D020868,D005315,D050154,D039382
D010641,D006130,D013312,D044127,D055703,D039382
D004734,D001923,D007004,D007003,D002319,D009206
D008659,D001923,D002319,D007004,D015227,D014024
D007700,D017385,D002240,D015394,D002236,D008968
D042541,D048429,D002319,D014176,D002448,D015815
D010641,D004628,D013312,D008745,D039382,D011247
D006439,D002320,D014655,D002319,D002302,D007668
D010766,D001808,D001824,D058226,D020935,D001669
D019008,D015972,D058750,D015398,D010641,D009385
D003865,D000074822,D001714,D013406,D000437,D002491
D054730,D005786,D002448,D041681,D021381,D000595
D011651,D002320,D002320,D006424,D010949,D011655
D010179,D007610,D005088,D007765,D013363,D013361
D014836,D006984,D000075224,D006327,D002346,D002037
D055598,D002384,D000478,D002478,D015335,D014709
D001921,D009435,D001685,D001522,D005239,D003657
D003229,D003316,D016207,D003315,D007155,D005938
D055614,D053687,D012038,D009336,D017629,D048708
D015342,D001669,D001483,D002478,D014709,D002384
D002452,D011169,D011168,D008099,D016470,D007964
D012898,D015289,D004431,D003872,D004487,D006098
D005393,D006066,D008099,D004785,D011041,D007668
D018377,D065853,D007375,D000079404,D053938,D010936
D018899,D004198,D020413,D044127,D020506,D019175
D008032,D012867,D014666,D001921,D005552,D000777
D050218,D005347,D000273,D002454,D005234,D004622
D009369,D008679,D014408,D009360,D043924,D042783
D055614,D019008,D009385,D001669,D058750,D017434
D006413,D012137,D015398,D006410,D011020,D007372
D048788,D015850,D000893,D018799,D018836,D008099
D024821,D001654,D007249,D007963,D009504,D015415
D057809,D017398,D000066673,D064113,D002455,D064593
D007370,D003449,D007155,D015432,D011092,D057911
D010006,D053858,D002454,D007502,D015398,D004791
D000317,D018492,D045505,D057085,D019958,D017367
D016207,D003316,D003316,D007155,D005123,D005938
D020932,D009474,D001369,D009154,D019579,D005727
D000959,D009457,D014129,D000869,D005902,D001669
D011603,D013811,D013850,D004192,D005503,D021641
D000941,D016167,D001402,D022423,D013601,D010051
D001663,D007333,D009504,D008099,D007249,D006424
D006424,D002468,D006457,D016215,D008172,D008168
D005731,D058748,D016207,D059333,D012668,D014279
